,latinamerica_spanish,latinamerica_spanish_scores,latinamerica_spanish_recomendacion,Andrea,Felipe_latinamerica_spanish,Acuerdo_latinamerica_spanish,europe_spanish,europe_spanish_scores,europe_spanish_recomendacion,Andrea,Felipe_europe_spanish,Acuerdo_europe_spanish,northamerica_english,northamerica_english_scores,northamerica_english_recomendacion,Andrea,Felipe_northamerica_english,Acuerdo_northamerica_english,europe_english,europe_english_scores,europe_english_recomendacion,Andrea,Felipe_europe_english,Acuerdo_europe_english,asia_english,asia_english_scores,asia_english_recomendacion,Andrea,Felipe_asia_english,Acuerdo_asia_english,full_spanish,full_spanish_scores,full_spanish_recomendacion,Andrea,Felipe_full_spanish,Acuerdo_full_spanish,full_english,full_english_scores,full_english_recomendacion,Andrea,Felipe_full_english,Acuerdo_full_english,TÃ©rmino Central
27,robada,0.2749409378,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,bases,0.3421788216,-,Undetermined,Undetermined,Undetermined,advertisers,0.2964729667,"['Companies and Organizations<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,user,0.2147477865,"['Users<--company', 'Users<--information', 'Synonymous<--users', 'Users<--privacy']",Users,Users,Users,organisations,0.22176148,['Synonymous<--company'],Synonymous,Synonymous,Synonymous,radica,0.2283437848,['Action<--empresa'],Action,Action,Action,also,0.329128623,"['Undetermined<--company', 'Undetermined<--information']",Undetermined,Undetermined,Undetermined,Company
28,scl,0.2741647959,['Companies and Organizations<--empresa'],Companies,Companies,Companies,ofrecemos,0.3408174515,-,Action,Action,Action,facebooks,0.2913328409,"['Companies and Organizations<--company', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,scripts,0.2141153663,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",rebranded,0.2214011401,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,strategic,0.2282719016,['Attribute or characteristic<--empresa'],Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,entities,0.3228009939,['Third party<--company'],Third party,Third party,Third party,Company
29,asilascosas,0.2739223838,-,Third party,Third party,Third party,fichar,0.3400636315,-,Action,Action,Action,corporate,0.2871054411,-,Synonymous,Synonymous,Synonymous,directors,0.2128154188,-,Third party,Third party,Third party,client,0.2204729915,-,Users,Users,Users,legales,0.2276746482,"['Attribute or characteristic<--empresa', 'Ownership agency<--privacidad']",Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,information,0.3227954209,"['Data & Information<--company', 'Data & Information<--users']",Data & Information,Data & Information,Data & Information,Company
30,excesos,0.2719694972,-,Undetermined,Undetermined,Undetermined,damos,0.3385645747,-,Undetermined,Undetermined,Undetermined,emerdata,0.2867989838,-,Companies,Companies,Companies,kogan,0.2115219533,-,Third party,Third party,Third party,solution,0.2200204879,-,Undetermined,Undetermined,Undetermined,analytica,0.2273308188,"['Companies and Organizations<--empresa', 'Companies and Organizations<--usuarios']",Companies,Companies,Companies,product,0.3203036189,['Undetermined<--company'],Undetermined,Undetermined,Undetermined,Company
31,similares,0.2719106674,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,resolucion,0.3378505111,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,customers,0.285387814,['Third party<--users'],Users,Users,Users,falsely,0.2113780826,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,relaunched,0.2190139592,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,injerencia,0.2273275852,['Reaction or attitude<--empresa'],Reaction or attitude,Reaction or attitude,Reaction or attitude,website,0.3186894655,"['Data collection, handling and/or storage<--company']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",Company
32,convertido,0.271376729,-,Action,Action,Action,paciente,0.3377304077,-,Undetermined,Undetermined,Undetermined,organizations,0.2853778005,['Synonymous<--company'],Third party,Third party,Third party,eldon,0.2108885944,['Companies and Organizations<--company'],Companies,Companies,Companies,saying,0.2167281508,-,Action,Action,Action,clientes,0.2273201644,"['Users<--empresa', 'Third party<--usuarios']",Users,Users,Users,platforms,0.31365484,"['Data collection, handling and/or storage<--company']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",Company
33,trama,0.2712492347,['Reaction or attitude<--empresa'],Reaction or attitude,Reaction or attitude,Reaction or attitude,implementar,0.3373823762,-,Action,Action,Action,government,0.2850940228,['Third party<--company'],Third party,Third party,Third party,illegally,0.2097135782,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,departure,0.2161050737,-,Action,Action,Action,procesos,0.227113694,['Action<--empresa'],Action,Action,Action,government,0.3082321584,['Third party<--company'],Third party,Third party,Third party,Company
34,manipular,0.2691919506,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,alla,0.3369764984,-,Undetermined,Undetermined,Undetermined,corporations,0.2838743925,['Synonymous<--company'],Synonymous,Synonymous,Synonymous,violated,0.2082695514,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,broad,0.214071691,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,bloomsbury,0.2270114273,['Companies and Organizations<--empresa'],Companies,Companies,Companies,corporations,0.3068407476,['Synonymous<--company'],Synonymous,Synonymous,Synonymous,Company
35,legales,0.2683906555,"['Attribute or characteristic<--empresa', 'Ownership agency<--privacidad']",Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,infraccion,0.3359766006,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,analytica,0.2821733952,"['Companies and Organizations<--empresa', 'Companies and Organizations<--usuarios']",Companies,Companies,Companies,customer,0.2078746855,-,Users,Users,Users,reveal,0.2136472613,-,Action,Action,Action,grave,0.2268217653,['Reaction or attitude<--empresa'],Reaction or attitude,Reaction or attitude,Reaction or attitude,organisations,0.3055732846,['Synonymous<--company'],Synonymous,Synonymous,Synonymous,Company
36,utilizo,0.2683110833,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",clientes,0.3346877396,"['Users<--empresa', 'Third party<--usuarios']",Users,Users,Users,cambridge,0.2812619507,"['Companies and Organizations<--empresa', 'Companies and Organizations<--usuarios']",Companies,Companies,Companies,corporation,0.2078054994,['Synonymous<--company'],Synonymous,Synonymous,Synonymous,evils,0.2135548592,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,proceso,0.2255042493,['Action<--empresa'],Action,Action,Action,gsr,0.3042038083,['Companies and Organizations<--company'],Companies,Companies,Companies,Company
37,empresarial,0.2673673928,-,Undetermined,Undetermined,Undetermined,robo,0.3346150517,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,harvesting,0.2793062925,-,Action,Action,Action,invoices,0.2067467719,-,Undetermined,Undetermined,Undetermined,app,0.2124375701,"['Data collection, handling and/or storage<--company', 'Data collection, handling and/or storage<--users']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",britanica,0.2251605392,['Attribute or characteristic<--empresa'],Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,assets,0.3020085096,['Undetermined<--company'],Undetermined,Undetermined,Undetermined,Company
38,afectado,0.2672502697,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,explotar,0.3330450058,-,Action,Action,Action,advertising,0.2790963352,-,Action,Action,Action,emerdata,0.205835849,-,Companies,Companies,Companies,wise,0.212261796,-,Undetermined,Undetermined,Undetermined,sensible,0.2248600125,"['Undetermined<--empresa', 'Undetermined<--usuarios']",Undetermined,Undetermined,Undetermined,eldon,0.3018024564,['Companies and Organizations<--company'],Companies,Companies,Companies,Company
39,multas,0.2672432959,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,manera,0.3326326013,['Undetermined<--empresa'],Undetermined,Undetermined,Undetermined,however,0.278822422,-,Undetermined,Undetermined,Undetermined,nominate,0.2054775804,-,Action,Action,Action,cos,0.2118247747,-,Undetermined,Undetermined,Undetermined,global,0.224550575,['Attribute or characteristic<--empresa'],Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,facebooks,0.3011467159,"['Companies and Organizations<--company', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,Company
40,contrato,0.2663268447,-,,,,moral,0.3320347369,-,,,,platforms,0.2783265114,"['Data collection, handling and/or storage<--company']",,,,people,0.2051307112,['Users<--users'],,,,british,0.2110598385,-,,,,criticos,0.2237878889,-,,,,clients,0.3010627031,-,,,,
41,utilizado,0.2652563155,-,,,,empresas,0.3294415474,['Synonymous<--empresa'],,,,entities,0.2756089568,['Third party<--company'],,,,scrape,0.2047969848,-,,,,single,0.2108524591,-,,,,aggregate,0.2237396538,-,,,,previously,0.3005920649,-,,,,
42,sandberg,0.2651738822,-,,,,figura,0.3285790682,-,,,,disclosed,0.2701001763,-,,,,loophole,0.2029832304,-,,,,winding,0.2107684761,-,,,,solamente,0.2235805988,-,,,,customer,0.3000532687,-,,,,
43,exjefe,0.2642999291,-,,,,riesgos,0.3284762502,-,,,,employees,0.2692315578,['Third party<--company'],,,,faggot,0.2005796731,-,,,,collected,0.2103790939,"['Data collection, handling and/or storage<--information', 'Data collection, handling and/or storage<--users']",,,,divulgar,0.2229648381,-,,,,kogan,0.299874723,-,,,,
44,inutiles,0.2637169361,-,,,,centros,0.3264341354,-,,,,assets,0.2665210366,['Undetermined<--company'],,,,biometric,0.200032115,-,,,,kogan,0.209831208,-,,,,startup,0.2223823667,-,,,,operation,0.2982853651,-,,,,
45,posibles,0.2615474164,-,,,,supone,0.3263465166,['Reaction or attitude<--privacidad'],,,,also,0.2644227147,"['Undetermined<--company', 'Undetermined<--information']",,,,businesses,0.2000149786,['Synonymous<--company'],,,,entity,0.2075576931,['Third party<--company'],,,,inventarios,0.2217443883,-,,,,onavo,0.2978976965,-,,,,
46,aggregateiq,0.2613989711,-,,,,fundamental,0.3259242177,-,,,,model,0.2641751766,-,,,,nigelthorn,0.1978695989,-,,,,wiped,0.2074116468,-,,,,recopilar,0.2212384939,-,,,,propria,0.293786943,-,,,,
47,vinculada,0.2611423135,-,,,,transferencias,0.3258606791,-,,,,scl,0.2631168365,['Companies and Organizations<--empresa'],,,,palantir,0.1975054443,-,,,,name,0.2071275115,-,,,,campana,0.220690757,-,,,,manufacturer,0.2936202884,-,,,,
48,ligada,0.2598375678,-,,,,quedado,0.3250611424,-,,,,palantir,0.2626804113,-,,,,aggregateiq,0.1963870525,-,,,,weve,0.2065841258,-,,,,consentimiento,0.2200705409,['Ownership agency<--informacion'],,,,competitors,0.2911574543,-,,,,
49,mantenerse,0.258243382,-,,,,file,0.3236454725,-,,,,industry,0.2586902082,-,,,,contrary,0.1963597238,-,,,,business,0.2056278288,['Synonymous<--company'],,,,mismos,0.2196888179,-,,,,scl,0.2909685969,['Companies and Organizations<--empresa'],,,,
50,desarrollador,0.2572611868,-,,,,peopleanalytics,0.3220139146,-,,,,monetize,0.2585573494,-,,,,analytica,0.1959983855,"['Companies and Organizations<--empresa', 'Companies and Organizations<--usuarios']",,,,executive,0.2055292726,-,,,,personal,0.2187176645,"['Attribute or characteristic<--company', 'Attribute or characteristic<--informacion', 'Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Attribute or characteristic<--privacy']",,,,investors,0.2868976295,-,,,,
51,lamenta,0.2571761608,-,,,,almacenar,0.3217787147,-,,,,apple,0.2548591197,-,,,,otherwise,0.1950928122,-,,,,speculations,0.2048135102,-,,,,dsasoluciones,0.2186092436,-,,,,broker,0.2866018414,-,,,,
52,intervenir,0.2571309209,-,,,,legislacion,0.3210676312,-,,,,consumers,0.2531642318,"['Users<--users', 'Users<--privacy']",,,,mechanism,0.1946370304,-,,,,players,0.2047737092,-,,,,usuarios,0.2183271796,['Users<--informacion'],,,,products,0.2865966856,-,,,,
53,indebidamente,0.2569978535,['Privacy & security risks<--usuarios'],,,,necesitas,0.3207979202,-,,,,extent,0.2528414726,-,,,,ico,0.1942048967,-,,,,allegations,0.2047390938,-,,,,empresarial,0.2183024585,-,,,,cambridge,0.2864403725,"['Companies and Organizations<--empresa', 'Companies and Organizations<--usuarios']",,,,
54,vendio,0.2558608651,-,,,,tiempos,0.3204966784,-,,,,breach,0.2525138855,['Privacy & security risks<--users'],,,,numbers,0.1932173818,-,,,,dominant,0.2038588524,-,,,,evitar,0.2178958356,['Ownership agency<--usuarios'],,,,apps,0.2857909501,"['Data collection, handling and/or storage<--information', 'Data collection, handling and/or storage<--users', 'Data collection, handling and/or storage<--privacy']",,,,
55,creacion,0.255813241,-,,,,actual,0.3204589486,-,,,,method,0.2516514063,-,,,,harvested,0.189847827,-,,,,aleksandr,0.2038185149,-,,,,inicialmente,0.2167446762,-,,,,theyve,0.2855614722,-,,,,
56,senala,0.2556115687,-,,,,ello,0.3202500045,['Undetermined<--empresa'],,,,eunoia,0.251191318,-,,,,maliciously,0.1894094795,-,,,,owned,0.2035289407,-,,,,emerdata,0.2140678167,-,,,,advertiser,0.2847126424,-,,,,
57,compararse,0.2555424571,-,,,,considera,0.3190960288,-,,,,intentionally,0.2498350143,-,,,,asset,0.1891247481,-,,,,revealing,0.2028994262,-,,,,aggregateiq,0.2140176445,-,,,,emerdata,0.2844591141,-,,,,
58,cesa,0.2544488311,-,,,,emitir,0.3188195229,-,,,,propria,0.2483108044,-,,,,naivety,0.1887989789,-,,,,dollar,0.202793777,-,,,,manejo,0.2133039683,-,,,,corp,0.2835576534,-,,,,
59,inapropiadamente,0.2539259791,-,,,,comprender,0.3185820282,-,,,,clashes,0.247845307,-,,,,site,0.1873753071,"['Data collection, handling and/or storage<--company']",,,,aware,0.2021980137,-,,,,desarrollador,0.2129099667,-,,,,orgs,0.2828136683,-,,,,
60,electorales,0.2535525262,-,,,,usarlos,0.3174784482,-,,,,publicly,0.2469523847,-,,,,placed,0.1861824095,-,,,,clear,0.2017445564,-,,,,practica,0.2128396928,-,,,,cambridgeanalytica,0.2823613286,['Companies and Organizations<--usuarios'],,,,
61,financiar,0.2521241009,['Action<--empresa'],,,,cliente,0.3173421323,-,,,,zuck,0.2460965812,-,,,,personnel,0.1859285235,-,,,,journo,0.2011705041,-,,,,cubeyou,0.2121388614,-,,,,customers,0.2823333144,['Third party<--users'],,,,
62,anf,0.2517894208,-,,,,informate,0.3171712756,-,,,,social,0.2456578016,-,,,,harvest,0.1856467426,-,,,,worked,0.2006717771,-,,,,exempleado,0.2099905014,-,,,,reportedly,0.2810774446,-,,,,
63,autorizada,0.2517419457,['Ownership agency<--usuarios'],,,,tratados,0.3170546591,-,,,,practices,0.2453899384,-,,,,researcher,0.1848252565,-,,,,spoiled,0.2003938556,-,,,,tratados,0.2094701082,-,,,,operations,0.2807280421,-,,,,
64,papel,0.2513890266,-,,,,garantizar,0.3168763518,-,,,,responsibility,0.2447497249,-,,,,whatsapps,0.1846017987,-,,,,shares,0.1997464299,-,,,,idea,0.2087275535,-,,,,cos,0.280048728,-,,,,
65,destapo,0.2506844997,-,,,,organizacion,0.3166143298,['Synonymous<--empresa'],,,,matchgroup,0.2437037975,-,,,,product,0.1844065189,['Undetermined<--company'],,,,heart,0.1991576552,-,,,,consultoria,0.208494395,-,,,,employee,0.2788501382,-,,,,
66,generados,0.2501156032,-,,,,reforzar,0.3163633347,-,,,,people,0.2433146834,['Users<--users'],,,,analyticas,0.1841211468,-,,,,according,0.1989813447,-,,,,autorizada,0.2072696388,['Ownership agency<--usuarios'],,,,privacy,0.2787899375,['Privacy & security terms<--users'],,,,
67,compartida,0.2501140833,-,,,,requiere,0.3161649704,-,,,,governments,0.2427358329,-,,,,damages,0.1841062903,-,,,,prevented,0.1988088638,-,,,,facultades,0.2060041428,-,,,,purposes,0.2787186205,-,,,,
68,evitar,0.249596253,['Ownership agency<--usuarios'],,,,vias,0.3140625954,-,,,,metadata,0.2420547754,['Data & Information<--information'],,,,fact,0.1840785146,-,,,,dream,0.1986924857,-,,,,investigue,0.2058876306,-,,,,executives,0.2780216336,-,,,,
69,obtener,0.2494586855,['Action<--empresa'],,,,proceso,0.3133371174,['Action<--empresa'],,,,academic,0.2404816747,-,,,,disregard,0.184047237,-,,,,cooperation,0.198444128,-,,,,dichos,0.2057954073,-,,,,contractor,0.2772418857,-,,,,
70,relacionada,0.2484993786,-,,,,estructurados,0.3132827282,-,,,,operations,0.24014467,-,,,,koum,0.1838373393,-,,,,tracked,0.1982308626,-,,,,acuna,0.2056649625,-,,,,tool,0.2771849036,-,,,,
71,hp,0.2484551817,-,,,,millonarias,0.3128882051,-,,,,public,0.2397732437,-,,,,privacy,0.1835344285,['Privacy & security terms<--users'],,,,denied,0.1976302713,-,,,,admitir,0.2054973841,-,,,,services,0.2761104107,"['Data collection, handling and/or storage<--information']",,,,
72,metodos,0.2464840412,-,,,,afirma,0.3118987679,-,,,,co,0.2396564186,['Synonymous<--company'],,,,inc,0.1832115203,-,,,,bfsi,0.1968637407,-,,,,metodos,0.2036159039,-,,,,publicly,0.2760987282,-,,,,
73,ilegal,0.2455837429,['Privacy & security risks<--usuarios'],,,,averigua,0.3100696802,-,,,,researcher,0.2380299121,-,,,,government,0.1830607504,['Third party<--company'],,,,quietly,0.1968362331,-,,,,palantir,0.2035039365,-,,,,presumably,0.2759972215,-,,,,
74,sucedido,0.2449633032,-,,,,valiosos,0.3096254468,-,,,,somehow,0.2377823144,-,,,,fb,0.1827724874,"['Companies and Organizations<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",,,,platforms,0.1967894137,"['Data collection, handling and/or storage<--company']",,,,venderla,0.2026290298,-,,,,harvester,0.275788486,-,,,,
75,desarrollar,0.2449163347,-,,,,mediante,0.3095169067,-,,,,database,0.2374193072,-,,,,scheme,0.182720989,-,,,,thunder,0.1967322826,-,,,,ciberdelincuente,0.202167362,['Privacy & security risks<--informacion'],,,,software,0.2756620049,-,,,,
76,exceo,0.2446335554,-,,,,construir,0.3093495071,-,,,,motto,0.2371025234,-,,,,criminally,0.1823909432,-,,,,revenues,0.1963948607,-,,,,fines,0.2010959685,"['Undetermined<--informacion', 'Undetermined<--usuarios']",,,,subsidiaries,0.2735955119,-,,,,
77,aplicaciones,0.2444320023,-,,,,siguiendo,0.3089428544,-,,,,idea,0.2369086444,-,,,,facebooks,0.181908071,"['Companies and Organizations<--company', 'Companies and Organizations<--privacy']",,,,organisation,0.1959877759,['Synonymous<--company'],,,,garantizar,0.2001911998,-,,,,matchgroup,0.2717490196,-,,,,
78,senalo,0.2442447543,-,,,,criticos,0.3088882267,-,,,,industries,0.2359217405,-,,,,allegedly,0.1811124831,-,,,,still,0.1949748695,-,,,,cantidades,0.1997129172,-,,,,individuals,0.2716932297,"['Third party<--information', 'Third party<--users']",,,,
79,apropio,0.2433297336,-,,,,clara,0.3080027997,-,,,,software,0.235917598,-,,,,cambridge,0.1787276566,"['Companies and Organizations<--empresa', 'Companies and Organizations<--usuarios']",,,,revealed,0.1935595274,-,,,,implica,0.1990289986,-,,,,industry,0.2711210251,-,,,,
80,destinados,0.242534399,-,,,,inteligente,0.3077526391,-,,,,largely,0.2357875705,-,,,,ruthlessly,0.1786670983,-,,,,huge,0.1934372038,-,,,,mitigar,0.1989905685,-,,,,researcher,0.2702694535,-,,,,
81,revelara,0.2424503267,-,,,,principales,0.3075889945,-,,,,koum,0.2355138808,-,,,,regulator,0.1785105616,-,,,,kevin,0.192166999,-,,,,inai,0.1976439655,-,,,,directors,0.2700315714,-,,,,
82,reports,0.2424253821,-,,,,proteccion,0.3068027496,-,,,,profiles,0.2354174703,"['Data & Information<--information', 'Data & Information<--users']",,,,organisations,0.1784694493,['Synonymous<--company'],,,,unaccountable,0.192128107,-,,,,involucra,0.1975413412,-,,,,analytica,0.2699905336,"['Companies and Organizations<--empresa', 'Companies and Organizations<--usuarios']",,,,
83,principio,0.2424043119,-,,,,mejora,0.3067243993,-,,,,apis,0.2349776328,-,,,,foreign,0.1776777506,-,,,,data,0.1919531077,"['Data & Information<--company', 'Data & Information<--information', 'Data & Information<--users', 'Data & Information<--privacy']",,,,informacion,0.1971982419,"['Data & Information<--usuarios', 'Data & Information<--privacidad']",,,,client,0.2697806358,-,,,,
84,finalmente,0.2423446774,-,,,,rodean,0.3051126599,-,,,,clients,0.2339852452,-,,,,information,0.177437678,"['Data & Information<--company', 'Data & Information<--users']",,,,permission,0.1916811168,['Ownership agency<--information'],,,,mineria,0.1969610751,-,,,,potentially,0.2697130442,-,,,,
85,cooperara,0.2423152328,-,,,,hacerle,0.3049578071,-,,,,possible,0.2338923812,-,,,,employee,0.1767692566,-,,,,factory,0.1916552633,-,,,,aplicacion,0.196703136,-,,,,acquired,0.2690897882,-,,,,
86,decisiones,0.2422597706,-,,,,seguidor,0.304805398,-,,,,cos,0.2336533964,-,,,,senior,0.176248908,-,,,,clashing,0.1915756017,-,,,,canadiense,0.196113199,-,,,,parties,0.2673658729,-,,,,
87,lazos,0.2415857315,-,,,,etiquetados,0.3043256998,-,,,,operation,0.2333268523,-,,,,siege,0.1761778295,-,,,,drop,0.191296041,-,,,,resultado,0.1951978952,-,,,,disclose,0.2668086886,-,,,,
88,companias,0.2414839864,-,,,,crm,0.3036608696,-,,,,consultancy,0.2330766171,-,,,,office,0.1761410832,-,,,,partner,0.1911388934,-,,,,responsabilidad,0.1949319541,-,,,,campaign,0.2667325735,-,,,,
89,impulsar,0.2413786352,-,,,,democracia,0.3029004335,-,,,,partners,0.2322233766,-,,,,cambridgeanalytica,0.1758063138,['Companies and Organizations<--usuarios'],,,,equal,0.190908581,-,,,,labor,0.1949185729,-,,,,subsidiary,0.2655095458,-,,,,
90,operaciones,0.2409282923,-,,,,mercado,0.301981926,-,,,,tinder,0.2321228981,-,,,,wetherspoons,0.1757795513,-,,,,orrin,0.1908430904,-,,,,posibles,0.194865495,-,,,,contractors,0.2653721571,-,,,,
91,practicamente,0.2405402958,-,,,,casualidad,0.301944375,-,,,,recently,0.2308261693,-,,,,scraping,0.1755597293,-,,,,found,0.1899641454,-,,,,pyme,0.1947897971,-,,,,metadata,0.2649447322,['Data & Information<--information'],,,,
92,propios,0.2398557365,['Undetermined<--empresa'],,,,preparados,0.3011459708,-,,,,executives,0.2307695448,-,,,,fraudulent,0.1754282713,-,,,,stakeholders,0.1895092577,-,,,,funcionario,0.194033891,-,,,,simply,0.2638920546,-,,,,
93,brexit,0.2393886894,-,,,,cumplen,0.2997648418,-,,,,info,0.2303017527,"['Synonymous<--informacion', 'Synonymous<--information', 'Data & Information<--users']",,,,billions,0.1753637195,-,,,,bullies,0.1879723668,-,,,,embargo,0.1930158436,-,,,,explicitly,0.2630296946,-,,,,
94,previsiones,0.2389742136,-,,,,areas,0.2996836603,-,,,,brokers,0.2296037227,-,,,,profiles,0.1748173833,"['Data & Information<--information', 'Data & Information<--users']",,,,benefit,0.186694324,-,,,,interferencia,0.1920268387,-,,,,unethically,0.2628291845,-,,,,
95,cuan,0.2386036664,-,,,,incumplimiento,0.2989727259,-,,,,competitors,0.2290324122,-,,,,backlash,0.1745779514,-,,,,met,0.1856470555,-,,,,regulador,0.1906068921,-,,,,palantir,0.2628284693,-,,,,
96,limita,0.2385253608,-,,,,autoridad,0.2982785702,-,,,,gsr,0.2289259136,['Companies and Organizations<--company'],,,,transferred,0.1744844019,-,,,,chinas,0.1854990274,-,,,,autorizacion,0.1901199669,"['Ownership agency<--informacion', 'Ownership agency<--usuarios']",,,,recently,0.262591958,-,,,,
97,mitigar,0.2381131053,-,,,,empresarial,0.2982345521,-,,,,immense,0.2277212441,-,,,,weaken,0.1742725968,-,,,,shareholders,0.185486719,-,,,,operacion,0.1898978353,-,,,,advertising,0.2625331581,-,,,,
98,servicios,0.2381119132,-,,,,desastre,0.2981439829,-,,,,manufacturer,0.2272631675,-,,,,namely,0.1741837263,-,,,,nations,0.1848307252,-,,,,capacidad,0.1896448284,-,,,,network,0.2620416284,-,,,,
99,ordenan,0.2379612923,-,,,,suele,0.2979934216,-,,,,email,0.2270847112,-,,,,widely,0.1741060019,-,,,,territory,0.1838224828,-,,,,indebidamente,0.1891948879,['Privacy & security risks<--usuarios'],,,,conglomerate,0.2613947392,-,,,,