,latinamerica_spanish,latinamerica_spanish_scores,latinamerica_spanish_recomendacion,Andrea,Felipe_latinamerica_spanish,Acuerdo_latinamerica_spanish,europe_spanish,europe_spanish_scores,europe_spanish_recomendacion,Andrea,Felipe_europe_spanish,Acuerdo_europe_spanish,northamerica_english,northamerica_english_scores,northamerica_english_recomendacion,Andrea,Felipe_northamerica_english,Acuerdo_northamerica_english,europe_english,europe_english_scores,europe_english_recomendacion,Andrea,Felipe_europe_english,Acuerdo_europe_english,asia_english,asia_english_scores,asia_english_recomendacion,Andrea,Felipe_asia_english,Acuerdo_asia_english,full_spanish,full_spanish_scores,full_spanish_recomendacion,Andrea,Felipe_full_spanish,Acuerdo_full_spanish,full_english,full_english_scores,full_english_recomendacion,Andrea,Felipe_full_english,Acuerdo_full_english,Termino central
0,proteccion,0.4687848985,-,Ownership agency,Ownership agency,Ownership agency,dataprivacy,0.4611931741,['Privacy & security terms<--privacy'],Privacy & security terms,Privacy & security terms,Privacy & security terms,data,0.5011353493,"['Data & Information<--company', 'Data & Information<--information', 'Data & Information<--users', 'Data & Information<--privacy']",Data & Information,Data & Information,Data & Information,facebook,0.4669387341,"['Companies and Organizations<--empresa', 'Companies and Organizations<--company', 'Companies and Organizations<--informacion', 'Companies and Organizations<--information', 'Companies and Organizations<--usuarios', 'Companies and Organizations<--users', 'Companies and Organizations<--privacidad', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,slew,0.3262874186,-,Undetermined,Undetermined,Undetermined,intimidad,0.4514496922,['Privacy & security terms<--privacidad'],Privacy & security terms,Privacy & security terms,Privacy & security terms,dataprivacy,0.5744422078,['Privacy & security terms<--privacy'],Privacy & security terms,Privacy & security terms,Privacy & security terms,Privacidad
1,datospersonales,0.4259235859,['Data & Information<--privacidad'],Data & Information,Data & Information,Data & Information,smartlive,0.4400139451,-,Third party,Third party,Third party,users,0.5001503229,"['Users<--company', 'Users<--information', 'Users<--privacy']",Users,Users,Users,gdpr,0.4456177354,"['Regulation<--privacidad', 'Regulation<--privacy']",Regulation,Regulation,Regulation,protection,0.3071613014,['Privacy & security terms<--privacy'],Ownership agency,Ownership agency,Ownership agency,datos,0.3772771358,"['Data & Information<--empresa', 'Data & Information<--informacion', 'Data & Information<--usuarios', 'Data & Information<--privacidad']",Data & Information,Data & Information,Data & Information,gdpr,0.4931288064,"['Regulation<--privacidad', 'Regulation<--privacy']",Regulation,Regulation,Regulation,Privacidad
2,rgpd,0.4069949389,['Regulation<--privacidad'],Regulation,Regulation,Regulation,legal,0.4277926087,-,Ownership agency,Ownership agency,Ownership agency,dataprivacy,0.4841582477,['Privacy & security terms<--privacy'],Privacy & security terms,Privacy & security terms,Privacy & security terms,data,0.4407736659,"['Data & Information<--company', 'Data & Information<--information', 'Data & Information<--users', 'Data & Information<--privacy']",Data & Information,Data & Information,Data & Information,regulators,0.2970561981,-,Third party,Third party,Third party,confidencialidad,0.3753820658,"['Privacy & security terms<--informacion', 'Privacy & security terms<--privacidad']",Privacy & security terms,Privacy & security terms,Privacy & security terms,protection,0.4840741158,['Privacy & security terms<--privacy'],Ownership agency,Ownership agency,Ownership agency,Privacidad
3,gdpr,0.4003397822,"['Regulation<--privacidad', 'Regulation<--privacy']",Regulation,Regulation,Regulation,protegen,0.4175876975,-,Ownership agency,Ownership agency,Ownership agency,facebook,0.4730100334,"['Companies and Organizations<--empresa', 'Companies and Organizations<--company', 'Companies and Organizations<--informacion', 'Companies and Organizations<--information', 'Companies and Organizations<--usuarios', 'Companies and Organizations<--users', 'Companies and Organizations<--privacidad', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,dataprivacy,0.4222681522,['Privacy & security terms<--privacy'],Privacy & security terms,Privacy & security terms,Privacy & security terms,adequate,0.2932403386,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,estafas,0.349205941,['Privacy & security risks<--privacidad'],Privacy & security risks,Privacy & security risks,Privacy & security risks,users,0.4772493839,"['Users<--company', 'Users<--information', 'Users<--privacy']",Users,Users,Users,Privacidad
4,privacy,0.3808692992,['Privacy & security terms<--users'],Synonymous,Synonymous,Synonymous,confidencialidad,0.4159425497,"['Privacy & security terms<--informacion', 'Privacy & security terms<--privacidad']",Privacy & security terms,Privacy & security terms,Privacy & security terms,user,0.4704884887,"['Users<--company', 'Users<--information', 'Synonymous<--users', 'Users<--privacy']",Users,Users,Users,users,0.3855776787,"['Users<--company', 'Users<--information', 'Users<--privacy']",Users,Users,Users,cybersecurity,0.2890991867,-,Privacy & security terms,Privacy & security terms,Privacy & security terms,datospersonales,0.3479497731,['Data & Information<--privacidad'],Data & Information,Data & Information,Data & Information,user,0.4710060656,"['Users<--company', 'Users<--information', 'Synonymous<--users', 'Users<--privacy']",Users,Users,Users,Privacidad
5,ftc,0.3777047694,-,Third party,Third party,Third party,lopd,0.4157263041,-,Regulation,Regulation,Regulation,gdpr,0.4380903244,"['Regulation<--privacidad', 'Regulation<--privacy']",Regulation,Regulation,Regulation,protection,0.3502080142,['Privacy & security terms<--privacy'],Ownership agency,Ownership agency,Ownership agency,data,0.2832164764,"['Data & Information<--company', 'Data & Information<--information', 'Data & Information<--users', 'Data & Information<--privacy']",Data & Information,Data & Information,Data & Information,privacypolicy,0.3478816152,"['Regulation<--privacidad', 'Regulation<--privacy']",Regulation,Regulation,Regulation,consumers,0.4531264305,"['Users<--users', 'Users<--privacy']",Users,Users,Users,Privacidad
6,habeasdata,0.3718878627,['Regulation<--privacidad'],Regulation,Regulation,Regulation,intimidad,0.4140556455,['Privacy & security terms<--privacidad'],Privacy & security terms,Privacy & security terms,Privacy & security terms,consumers,0.4369727969,"['Users<--users', 'Users<--privacy']",Users,Users,Users,default,0.3411589861,['Undetermined<--users'],Undetermined,Undetermined,Undetermined,quell,0.2824244499,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,seguridaddigital,0.3319539726,['Privacy & security terms<--privacidad'],Privacy & security terms,Privacy & security terms,Privacy & security terms,data,0.4474917054,"['Data & Information<--company', 'Data & Information<--information', 'Data & Information<--users', 'Data & Information<--privacy']",Data & Information,Data & Information,Data & Information,Privacidad
7,derecho,0.360485822,-,Regulation,Regulation,Regulation,gdpready,0.4132260382,['Regulation<--privacidad'],Regulation,Regulation,Regulation,transparency,0.4103318453,['Privacy & security terms<--privacy'],Privacy & security terms,Privacy & security terms,Privacy & security terms,advertisers,0.340606153,"['Companies and Organizations<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,transparency,0.279700458,['Privacy & security terms<--privacy'],Privacy & security terms,Privacy & security terms,Privacy & security terms,protecciondedatos,0.3297062218,['Privacy & security terms<--privacidad'],Ownership agency,Ownership agency,Ownership agency,transparency,0.4455679059,['Privacy & security terms<--privacy'],Privacy & security terms,Privacy & security terms,Privacy & security terms,Privacidad
8,ciberseguridad,0.3573252559,['Privacy & security terms<--privacidad'],Privacy & security terms,Privacy & security terms,Privacy & security terms,menores,0.3972753286,['Undetermined<--privacidad'],Undetermined,Undetermined,Undetermined,facebooks,0.4071775079,"['Companies and Organizations<--company', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,user,0.3405787051,"['Users<--company', 'Users<--information', 'Synonymous<--users', 'Users<--privacy']",Users,Users,Users,arbitrary,0.2796062231,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,identidad,0.3286445141,"['Privacy & security terms<--informacion', 'Privacy & security terms<--privacidad']",Privacy & security terms,Privacy & security terms,Privacy & security terms,facebook,0.4407508969,"['Companies and Organizations<--empresa', 'Companies and Organizations<--company', 'Companies and Organizations<--informacion', 'Companies and Organizations<--information', 'Companies and Organizations<--usuarios', 'Companies and Organizations<--users', 'Companies and Organizations<--privacidad', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,Privacidad
9,soyusuario,0.3553159237,-,Undetermined,Undetermined,Undetermined,identidad,0.3964202404,"['Privacy & security terms<--informacion', 'Privacy & security terms<--privacidad']",Privacy & security terms,Privacy & security terms,Privacy & security terms,collection,0.4055815935,"['Data collection, handling and/or storage<--privacy']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",personal,0.3392260075,"['Attribute or characteristic<--company', 'Attribute or characteristic<--informacion', 'Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Attribute or characteristic<--privacy']",Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,stricter,0.2707439959,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,menores,0.3251851797,['Undetermined<--privacidad'],Undetermined,Undetermined,Undetermined,personal,0.4317670465,"['Attribute or characteristic<--company', 'Attribute or characteristic<--informacion', 'Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Attribute or characteristic<--privacy']",Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,Privacidad
10,normativa,0.3410839438,-,Regulation,Regulation,Regulation,olvido,0.3910382986,-,Undetermined,Undetermined,Undetermined,consumer,0.4042049646,['Users<--privacy'],Users,Users,Users,tightening,0.3383882642,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,login,0.2612205148,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",facebook,0.3206243515,"['Companies and Organizations<--empresa', 'Companies and Organizations<--company', 'Companies and Organizations<--informacion', 'Companies and Organizations<--information', 'Companies and Organizations<--usuarios', 'Companies and Organizations<--users', 'Companies and Organizations<--privacidad', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,consent,0.4188102782,"['Ownership agency<--information', 'Ownership agency<--users', 'Ownership agency<--privacy']",Ownership agency,Ownership agency,Ownership agency,Privacidad
11,reforma,0.3374272287,-,Regulation,Regulation,Regulation,profundidad,0.3867702484,-,Undetermined,Undetermined,Undetermined,fb,0.3967259824,"['Companies and Organizations<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,overhauls,0.3373776972,['Reaction or attitude<--privacy'],Reaction or attitude,Reaction or attitude,Reaction or attitude,community,0.2589913905,-,Third party,Third party,Third party,terceros,0.3198081851,"['Third party<--informacion', 'Third party<--usuarios', 'Third party<--privacidad']",Third party,Third party,Third party,security,0.4150550961,['Privacy & security terms<--privacy'],Privacy & security terms,Privacy & security terms,Privacy & security terms,Privacidad
12,congresodatospersonales,0.3349112272,-,Undetermined,Undetermined,Undetermined,regulacion,0.383852303,-,Regulation,Regulation,Regulation,companies,0.3952662349,"['Synonymous<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,amid,0.3348175883,-,Undetermined,Undetermined,Undetermined,consent,0.2567525804,"['Ownership agency<--information', 'Ownership agency<--users', 'Ownership agency<--privacy']",Ownership agency,Ownership agency,Ownership agency,informacion,0.3153522313,"['Data & Information<--usuarios', 'Data & Information<--privacidad']",Data & Information,Data & Information,Data & Information,sharing,0.4088336825,['Action<--privacy'],Action,Action,Action,Privacidad
13,compliance,0.332593739,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,shield,0.3833759725,-,Ownership agency,Ownership agency,Ownership agency,sharing,0.3930055499,['Action<--privacy'],Action,Action,Action,stricter,0.3327593803,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,trust,0.2546449602,['Reaction or attitude<--privacy'],Reaction or attitude,Reaction or attitude,Reaction or attitude,ciberseguridad,0.3116390705,['Privacy & security terms<--privacidad'],Privacy & security terms,Privacy & security terms,Privacy & security terms,dataprotection,0.4065599442,['Privacy & security terms<--privacy'],Ownership agency,Ownership agency,Ownership agency,Privacidad
14,protecciondedatos,0.3300089836,['Privacy & security terms<--privacidad'],Ownership agency,Ownership agency,Ownership agency,proteger,0.3815865517,-,Ownership agency,Ownership agency,Ownership agency,protection,0.3901655674,['Privacy & security terms<--privacy'],Ownership agency,Ownership agency,Ownership agency,tighter,0.3158851266,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,forced,0.2504566312,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,sensibles,0.3105962276,"['Attribute or characteristic<--usuarios', 'Undetermined<--privacidad']",Undetermined,Undetermined,Undetermined,tos,0.4040288925,['Regulation<--privacy'],Regulation,Regulation,Regulation,Privacidad
15,seguridad,0.3280529976,['Privacy & security terms<--privacidad'],Privacy & security terms,Privacy & security terms,Privacy & security terms,privacy,0.3796333969,['Privacy & security terms<--users'],Synonymous,Synonymous,Synonymous,usage,0.3841919303,"['Action<--users', 'Data collection, handling and/or storage<--privacy']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",dataprotection,0.3154380918,['Privacy & security terms<--privacy'],Ownership agency,Ownership agency,Ownership agency,tightens,0.2500442564,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,correos,0.3016756177,['Data & Information<--privacidad'],Data & Information,Data & Information,Data & Information,consumer,0.4014397264,['Users<--privacy'],Users,Users,Users,Privacidad
16,implicaciones,0.3238221109,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,adaptate,0.3793255091,-,Undetermined,Undetermined,Undetermined,personal,0.3799471855,"['Attribute or characteristic<--company', 'Attribute or characteristic<--informacion', 'Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Attribute or characteristic<--privacy']",Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,collects,0.3082535863,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",gdpr,0.2491348237,"['Regulation<--privacidad', 'Regulation<--privacy']",Regulation,Regulation,Regulation,cookies,0.2998709083,"['Data collection, handling and/or storage<--privacidad']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",collection,0.3989821672,"['Data collection, handling and/or storage<--privacy']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",Privacidad
17,risks,0.3227413893,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,eliminarlos,0.3767402172,-,Action,Action,Action,deletefacebook,0.3516972065,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,curb,0.30185467,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,autonomy,0.2474891096,-,Ownership agency,Ownership agency,Ownership agency,protegete,0.2993854284,['Ownership agency<--privacidad'],Ownership agency,Ownership agency,Ownership agency,opt,0.3975688815,"['Ownership agency<--information', 'Ownership agency<--users', 'Ownership agency<--privacy']",Ownership agency,Ownership agency,Ownership agency,Privacidad
18,databreach,0.3199941516,['Privacy & security risks<--privacidad'],Privacy & security risks,Privacy & security risks,Privacy & security risks,zuckerberghearing,0.3767000139,-,Undetermined,Undetermined,Undetermined,consent,0.3496119082,"['Ownership agency<--information', 'Ownership agency<--users', 'Ownership agency<--privacy']",Ownership agency,Ownership agency,Ownership agency,tos,0.2996188402,['Regulation<--privacy'],Regulation,Regulation,Regulation,private,0.2432283759,"['Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Synonymous<--privacy']",Synonymous,Synonymous,Synonymous,supone,0.2989898324,['Reaction or attitude<--privacidad'],Reaction or attitude,Reaction or attitude,Reaction or attitude,trust,0.3973606825,['Reaction or attitude<--privacy'],Reaction or attitude,Reaction or attitude,Reaction or attitude,Privacidad
19,garantizar,0.319624722,-,Privacy & security terms,Privacy & security terms,Privacy & security terms,niveles,0.3745852113,-,Undetermined,Undetermined,Undetermined,liability,0.3495499194,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,opting,0.2960054278,-,Ownership agency,Ownership agency,Ownership agency,collect,0.2394369096,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",cuidatusdatos,0.2981484532,['Ownership agency<--privacidad'],Ownership agency,Ownership agency,Ownership agency,privacyrights,0.3935500085,['Regulation<--privacy'],Regulation,Regulation,Regulation,Privacidad
20,innegable,0.3159404099,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,derecho,0.37312603,-,Regulation,Regulation,Regulation,restricting,0.3484219015,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,weaken,0.294901967,-,Action,Action,Action,provisions,0.2372533381,-,Undetermined,Undetermined,Undetermined,gdpready,0.2967097163,['Regulation<--privacidad'],Regulation,Regulation,Regulation,companies,0.3922807872,"['Synonymous<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,Privacidad
21,sensibles,0.3135025501,"['Attribute or characteristic<--usuarios', 'Undetermined<--privacidad']",Undetermined,Undetermined,Undetermined,contrasenas,0.3728538156,['Security mechanisms<--privacidad'],Security mechanisms,Security mechanisms,Security mechanisms,use,0.3477747738,['Action<--users'],"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",consumer,0.2947375178,['Users<--privacy'],Users,Users,Users,facebooks,0.2359678298,"['Companies and Organizations<--company', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,seguros,0.2946898937,['Privacy & security terms<--privacidad'],Privacy & security terms,Privacy & security terms,Privacy & security terms,facebooks,0.3831356764,"['Companies and Organizations<--company', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,Privacidad
22,confidencialidad,0.3127959073,"['Privacy & security terms<--informacion', 'Privacy & security terms<--privacidad']",Privacy & security terms,Privacy & security terms,Privacy & security terms,gprd,0.3719862103,-,Regulation,Regulation,Regulation,opt,0.3457291722,"['Ownership agency<--information', 'Ownership agency<--users', 'Ownership agency<--privacy']",Ownership agency,Ownership agency,Ownership agency,restrict,0.29347682,-,Action,Action,Action,europeanunion,0.2325362563,-,Third party,Third party,Third party,gdpr,0.2945149541,"['Regulation<--privacidad', 'Regulation<--privacy']",Regulation,Regulation,Regulation,private,0.3819898367,"['Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Synonymous<--privacy']",Synonymous,Synonymous,Synonymous,Privacidad
23,tema,0.3119178414,-,Undetermined,Undetermined,Undetermined,password,0.3692798615,-,Security mechanisms,Security mechanisms,Security mechanisms,tos,0.3451534212,['Regulation<--privacy'],Regulation,Regulation,Regulation,facebooks,0.2932973206,"['Companies and Organizations<--company', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,raised,0.2309049666,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,conscientes,0.2941387296,['Reaction or attitude<--privacidad'],Reaction or attitude,Reaction or attitude,Reaction or attitude,fb,0.3758351505,"['Companies and Organizations<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,Privacidad
24,constitucional,0.3114080429,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,biometria,0.3686799407,-,Security mechanisms,Security mechanisms,Security mechanisms,portability,0.3431174755,['Ownership agency<--privacy'],Ownership agency,Ownership agency,Ownership agency,datasecurity,0.2867833972,-,Privacy & security terms,Privacy & security terms,Privacy & security terms,collection,0.2294808626,"['Data collection, handling and/or storage<--privacy']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",gtibr,0.29318434,['Undetermined<--privacidad'],Undetermined,Undetermined,Undetermined,personaldata,0.3703534603,"['Data & Information<--information', 'Data & Information<--privacy']",Data & Information,Data & Information,Data & Information,Privacidad
25,proteger,0.3107053638,-,Ownership agency,Ownership agency,Ownership agency,flash,0.3684585094,-,Undetermined,Undetermined,Undetermined,security,0.3428867459,['Privacy & security terms<--privacy'],Privacy & security terms,Privacy & security terms,Privacy & security terms,personaldata,0.2829880118,"['Data & Information<--information', 'Data & Information<--privacy']",Data & Information,Data & Information,Data & Information,raising,0.2290903032,-,Action,Action,Action,grooming,0.2931028008,['Privacy & security risks<--privacidad'],Privacy & security risks,Privacy & security risks,Privacy & security risks,usage,0.3697983027,"['Action<--users', 'Data collection, handling and/or storage<--privacy']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",Privacidad
26,concientizar,0.3104675114,-,Ownership agency,Ownership agency,Ownership agency,iso,0.3676837087,-,Regulation,Regulation,Regulation,private,0.3416986465,"['Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Synonymous<--privacy']",Synonymous,Synonymous,Synonymous,encryption,0.282669127,['Security mechanisms<--privacy'],Security mechanisms,Security mechanisms,Security mechanisms,indication,0.228547886,-,Undetermined,Undetermined,Undetermined,proveedores,0.2910619378,['Third party<--privacidad'],Third party,Third party,Third party,collecting,0.3665133715,"['Data collection, handling and/or storage<--privacy']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",Privacidad
